9 280 675
0 0 -0.342471 -0.0813594
1 0 -0.444345 -0.01819
0 1 0.436864 -0.0793217
1 1 0.30239 -0.0069825
0 2 0.333971 -0.154717
1 2 0.208667 -0.0823783
0 3 0.00288143 -0.195472
1 3 -0.105105 -0.12517
0 4 0.41547 0.0989791
1 4 0.288128 0.166224
0 5 0.465389 0.0745264
1 5 0.33499 0.14279
0 6 0.402227 -0.252121
1 6 0.25451 -0.171019
0 7 0.303205 0.0620963
1 7 0.187273 0.127507
0 8 0.52692 0.0474247
1 8 0.397337 0.117115
0 3 0.00369647 -0.195879
0 1 0.436456 -0.0797292
0 9 -0.344223 -0.0809518
1 9 -0.445445 -0.0178639
0 10 0.417141 0.0936403
1 10 0.288047 0.16113
0 11 0.0137208 -0.167514
1 11 -0.0963029 -0.0985578
0 12 0.391616 0.0901191
1 12 0.264868 0.157022
0 13 -0.344223 -0.0806584
1 13 -0.446325 -0.0172771
0 14 -0.108332 -0.253197
1 14 -0.212195 -0.180719
0 15 0.430344 -0.11587
1 15 0.296555 -0.0419253
0 16 0.428584 -0.082419
1 16 0.293034 -0.0102347
0 17 -0.0643226 -0.260943
1 17 -0.17417 -0.186998
0 18 0.459566 -0.0834753
1 18 0.324369 -0.0116431
0 19 0.41943 0.099063
1 19 0.290148 0.16498
0 20 -0.0951644 -0.273619
1 20 -0.201632 -0.197562
0 21 -0.280216 -0.245732
1 21 -0.386683 -0.172209
0 22 0.297752 -0.0657285
1 22 0.184947 0.00314585
0 23 0.418923 0.0975419
1 23 0.291162 0.164473
0 24 0.443258 -0.0910811
1 24 0.309413 -0.0180657
0 25 -0.0963812 -0.272402
1 25 -0.202241 -0.195736
2 26 0.0477059 -0.104793
3 26 0.0517809 -0.0324541
2 27 -0.23041 -0.14351
3 27 -0.215129 -0.0528313
2 28 -0.475925 0.0816585
3 28 -0.438232 0.191696
2 29 -0.141779 0.0276588
3 29 -0.127517 0.109168
2 30 -0.0704677 0.018489
3 30 -0.0602803 0.0969414
2 31 0.521419 -0.0130957
3 31 0.513269 0.048036
2 32 0.485763 -0.164906
3 32 0.470482 -0.0905292
2 33 -0.239578 -0.130265
3 33 -0.223278 -0.0395861
2 34 0.162823 0.216148
3 34 0.166898 0.284412
2 35 -0.0598728 0.00585516
3 35 -0.050093 0.0841038
2 36 -0.045203 -0.145751
3 36 -0.0390905 -0.0662802
2 37 0.0477059 -0.105405
3 37 0.0525959 -0.0332691
2 38 -0.0513154 -0.161646
3 38 -0.045203 -0.0809518
2 39 0.161397 0.211258
3 39 0.165065 0.279725
2 40 -0.480652 0.118582
3 40 -0.444956 0.219816
2 41 -0.421973 0.00120915
3 41 -0.391166 0.111246
2 42 0.0386595 -0.130835
3 42 0.0430605 -0.0574773
2 43 -0.0625623 -0.16458
3 43 -0.0562054 -0.0858424
2 44 0.484622 -0.16458
3 44 0.469463 -0.0907329
2 45 -0.257964 -0.0700949
3 45 -0.2386 0.0158808
2 46 -0.0115112 -0.170449
3 46 -0.00799048 -0.091222
2 47 -0.32838 -0.0119953
3 47 -0.303734 0.0725132
2 48 -0.111853 0.030259
3 48 -0.0992369 0.111246
2 49 -0.141779 0.0267378
3 49 -0.127696 0.107725
2 50 -0.476251 0.0834289
3 50 -0.438227 0.19329
2 51 -0.229094 -0.144744
3 51 -0.214307 -0.0538974
2 52 0.468016 0.191177
3 52 0.465904 0.243995
2 53 -0.482589 0.0686399
3 53 -0.444565 0.178501
2 54 -0.330914 -0.0124882
3 54 -0.305565 0.0737105
2 55 0.467594 0.190332
3 55 0.465059 0.243573
2 56 0.335777 0.0255406
3 56 0.333242 0.0813163
2 57 -0.0444655 -0.187421
3 57 -0.0393956 -0.106293
2 58 0.52855 -0.298377
4 58 0.47252 -0.34932
2 59 -0.326375 -0.0112617
4 59 -0.329227 -0.054869
4 38 -0.0816738 -0.196491
2 60 0.0367035 -0.0222654
4 60 0.00695638 -0.0670954
2 61 0.464085 0.186071
4 61 0.421542 0.125918
2 62 -0.454247 0.00561064
4 62 -0.474784 -0.04574
2 63 -0.42168 0.00385008
4 63 -0.446325 -0.0507283
2 64 -0.453367 0.00737126
4 64 -0.474491 -0.0454465
2 65 -0.256556 -0.0686864
4 65 -0.270287 -0.108828
2 66 -0.383303 0.0686399
4 66 -0.412878 0.00525857
2 67 -0.419638 0.000188114
4 67 -0.446677 -0.0538974
2 68 -0.396823 0.0838515
4 68 -0.424708 0.0179349
2 69 -0.457662 0.00525861
4 69 -0.476251 -0.0475592
4 55 0.4245 0.132021
2 68 -0.396316 0.0823304
2 70 -0.0495353 -0.185393
4 70 -0.0774198 -0.217844
2 71 -0.420652 0.000188114
4 71 -0.447522 -0.0530523
2 72 0.236407 0.228361
4 72 0.169484 0.158388
2 73 -0.256995 -0.0716103
4 73 -0.271597 -0.109335
2 74 -0.048927 -0.184784
4 74 -0.0769128 -0.218858
2 75 -0.457763 0.00505582
4 75 -0.478448 -0.0484888
3 76 0.0609495 0.0246022
4 76 0.0232562 -0.0895103
3 60 0.0436309 0.0470172
3 77 0.468445 0.244676
4 77 0.426676 0.132602
3 78 0.461314 0.226337
4 78 0.418527 0.113243
4 26 0.0273311 -0.119057
3 79 0.176067 0.298065
4 79 0.10883 0.157462
3 80 0.432789 0.233265
4 80 0.391224 0.120783
3 81 0.437679 0.234488
4 81 0.396114 0.122005
3 82 0.523253 0.0963301
4 82 0.489023 -0.0124844
3 83 0.462618 0.241824
4 83 0.420075 0.130319
3 84 0.437679 0.234488
4 84 0.395136 0.122984
3 65 -0.23684 0.0161742
4 46 -0.0449585 -0.205661
3 85 -0.00939877 -0.0919262
4 85 -0.047423 -0.206013
4 54 -0.333449 -0.0555875
3 86 -0.366505 0.183943
4 86 -0.423694 0.0153997
5 77 0.33499 0.173356
5 26 -0.0429618 -0.0895103
5 76 -0.0470367 -0.062001
4 87 0.435845 -0.0395861
5 87 0.342121 0.00116839
4 88 0.0171438 -0.145548
5 88 -0.050093 -0.114982
4 26 0.0269237 -0.118854
4 89 -0.330042 -0.0552765
5 89 -0.377108 -0.0385672
4 90 -0.31415 -0.0308239
5 90 -0.377719 -0.0381597
4 91 0.419342 0.130564
5 91 0.327655 0.170911
4 90 -0.33102 -0.054543
4 92 0.431811 0.0100121
5 92 0.430344 0.00854497
4 93 0.402178 0.125331
5 93 0.312399 0.165825
4 94 0.421965 0.131007
5 94 0.330707 0.170557
4 95 0.421965 0.129182
5 95 0.330707 0.16934
6 26 -0.069449 -0.0732085
6 87 0.304428 0.0154325
6 88 -0.0765801 -0.0986801
4 88 0.0171438 -0.145751
6 90 -0.382202 0.000149528
6 91 0.293426 0.183137
6 80 0.267753 0.172133
4 96 -0.332487 -0.082419
6 96 -0.399724 -0.0454955
4 97 0.0181218 -0.146974
6 97 -0.0757651 -0.0992914
6 90 -0.397279 -0.0210428
6 93 0.278951 0.176388
4 98 0.401685 0.124416
6 98 0.277473 0.177656
6 94 0.297245 0.182726
6 74 -0.166143 -0.164603
6 95 0.297854 0.180293
4 99 0.33499 -0.109888
7 99 0.266735 -0.0344918
7 88 -0.0276807 -0.0762651
7 89 -0.342471 -0.0018882
7 90 -0.328208 0.0195079
7 91 0.341103 0.202699
4 100 -0.398501 0.112224
7 100 -0.438232 0.146866
7 90 -0.34349 -0.00148063
7 92 0.439146 0.0437568
7 63 -0.480652 0.00707781
7 69 -0.506178 0.012653
